CCTV4K超高清,rtp://232.0.0.89:8650
CGTN西班牙语,rtp://232.0.0.191:9200
CGTN英语,rtp://232.0.0.202:9222
CHC动作电影,rtp://232.0.0.179:9176
CHC家庭影院,rtp://232.0.0.177:9172
CHC影迷电影,rtp://232.0.0.94:8668
安多卫视(藏语),rtp://232.0.0.236:9368
安徽卫视,rtp://232.0.0.138:9156
安徽卫视,rtp://232.0.0.73:8556
北京纪实科教,rtp://232.0.0.185:9188
北京卫视,rtp://232.0.0.117:8860
北京卫视,rtp://232.0.0.68:8548
兵团卫视,rtp://232.0.0.67:8640
东方卫视,rtp://232.0.0.128:9100
东方卫视,rtp://232.0.0.17:8546
东南卫视,rtp://232.0.0.174:9352
东南卫视,rtp://232.0.0.74:8578
甘肃卫视,rtp://232.0.0.50:8642
广东卫视,rtp://232.0.0.160:9120
广东卫视,rtp://232.0.0.72:8580
广西卫视,rtp://232.0.0.127:9300
广西卫视,rtp://232.0.0.76:8582
贵州卫视,rtp://232.0.0.87:8584
贵州卫视 ,rtp://232.0.0.171:9346
海南卫视,rtp://232.0.0.195:9208
海南卫视,rtp://232.0.0.71:8586
河北卫视,rtp://232.0.0.64:8608
河北卫视,rtp://232.0.0.49:8500
河南卫视,rtp://232.0.0.48:8666
河南卫视,rtp://232.0.0.80:8570
黑龙江卫视,rtp://232.0.0.95:8866
黑龙江卫视,rtp://232.0.0.85:8576
湖北卫视,rtp://232.0.0.130:9104
湖北卫视,rtp://232.0.0.83:8562
湖南卫视,rtp://232.0.0.115:8864
湖南卫视,rtp://232.0.0.69:8560
吉林卫视,rtp://232.0.0.170:9344
吉林卫视,rtp://232.0.0.84:8574
江苏卫视,rtp://232.0.0.116:8862
江苏卫视,rtp://232.0.0.79:8550
江西卫视,rtp://232.0.0.112:8606
江西卫视,rtp://232.0.0.82:8564
康巴卫视(藏语）,rtp://232.0.0.237:9370
内蒙古卫视,rtp://232.0.0.111:8718
宁夏卫视,rtp://232.0.0.34:8644
青海卫视,rtp://232.0.0.101:8588
三沙卫视,rtp://232.0.0.31:8654
厦门卫视,rtp://232.0.0.183:9184
山东教育卫视,rtp://232.0.0.200:9218
山东卫视,rtp://232.0.0.161:9122
山东卫视,rtp://232.0.0.78:8554
山西卫视,rtp://232.0.0.86:8558
陕西卫视,rtp://232.0.0.35:8590
深圳卫视,rtp://232.0.0.110:8868
深圳卫视,rtp://232.0.0.106:8592
四川卫视,rtp://232.0.0.208:9234
四川卫视,rtp://232.0.0.77:8568
天津卫视,rtp://232.0.0.131:9106
天津卫视,rtp://232.0.0.81:8572
西藏卫视,rtp://232.0.0.114:8844
西藏卫视(藏语),rtp://232.0.0.235:9366
新疆卫视,rtp://232.0.0.18:8722
延边卫视,rtp://232.0.0.184:9186
云南卫视,rtp://232.0.0.24:8604
云南卫视,rtp://232.0.0.40:8598
浙江卫视,rtp://232.0.0.129:9102
浙江卫视,rtp://232.0.0.70:8552
重庆卫视,rtp://232.0.0.75:8566
重庆卫视 ,rtp://232.0.0.209:9236
辽宁北方,rtp://232.0.0.211:9240
辽宁北方,rtp://232.0.0.55:8542
辽宁都市,rtp://232.0.0.42:8856
辽宁都市,rtp://232.0.0.88:8890
辽宁公共,rtp://232.0.0.156:9322
辽宁公共,rtp://232.0.0.226:9274
辽宁教育青少,rtp://232.0.0.230:9356
辽宁教育青少,rtp://232.0.0.99:8536
辽宁经济,rtp://232.0.0.155:9320
辽宁经济,rtp://232.0.0.225:9272
辽宁生活,rtp://232.0.0.212:9242
辽宁生活,rtp://232.0.0.96:8538
辽宁体育休闲,rtp://232.0.0.66:8820
辽宁体育休闲,rtp://232.0.0.3:8540
辽宁卫视,rtp://232.0.0.144:9108
辽宁卫视,rtp://232.0.0.16:8528
辽宁宜家购物,rtp://232.0.0.21:8838
辽宁宜家购物,rtp://232.0.0.33:8652
辽宁移动电视,rtp://232.0.0.167:9338
辽宁移动电视,rtp://232.0.0.205:9228
辽宁影视剧,rtp://232.0.0.97:8534
辽宁影视剧,rtp://232.0.0.203:9224
沈阳新闻综合,rtp://232.0.0.227:9276
朝阳教育频道,rtp://232.0.0.244:9128
朝阳新闻综合,rtp://232.0.0.243:9126
丹东生活,rtp://232.0.0.252:9164
丹东新闻综合,rtp://232.0.0.251:9162
阜新教育,rtp://232.0.0.248:9138
阜新新闻综合,rtp://232.0.0.246:9134
铁岭生活,rtp://232.0.0.241:9282
铁岭新闻综合,rtp://232.0.0.240:9280
葫芦岛生活服务,rtp://232.0.0.239:9262
葫芦岛新闻综合,rtp://232.0.0.238:9260
本息法治生活,rtp://232.0.0.158:9326
本溪新闻综合,rtp://232.0.0.157:9324
辽阳社会生活,rtp://232.0.0.173:9350
辽阳社会生活,rtp://232.0.0.250:9000
辽阳新闻综合,rtp://232.0.0.172:9348
辽阳新闻综合,rtp://232.0.0.249:9140
兵器科技,rtp://232.0.0.121:8882
高尔夫网球,rtp://232.0.0.215:9248
国学频道,rtp://232.0.0.221:9264
佳佳卡通,rtp://232.0.0.180:9178
家庭理财,rtp://232.0.0.197:9212
家庭理财,rtp://232.0.0.19:8688
家有购物,rtp://232.0.0.109:8702
怀旧剧场,rtp://232.0.0.204:9226
环球旅游,rtp://232.0.0.29:8706
快乐垂钓,rtp://232.0.0.214:9246
老故事,rtp://232.0.0.218:9254
乐游,rtp://232.0.0.126:9298
梨园频道,rtp://232.0.0.219:9256
金色学堂,rtp://232.0.0.141:9306
金鹰纪实,rtp://232.0.0.186:9190
金鹰卡通,rtp://232.0.0.181:9180
睛彩广场舞,rtp://232.0.0.100:8684
睛彩竞技,rtp://232.0.0.232:9360
睛彩篮球,rtp://232.0.0.233:9362
睛彩羽毛球,rtp://232.0.0.234:9364
精选剧场,rtp://232.0.0.102:8888
聚鲨环球精选,rtp://232.0.0.193:9204
卡酷少儿,rtp://232.0.0.199:9216
卡酷少儿,rtp://232.0.0.57:8682
女性时尚,rtp://232.0.0.120:8858
生活时尚,rtp://232.0.0.125:9296
生态环境,rtp://232.0.0.151:9312
世界地理,rtp://232.0.0.123:9292
收藏天下,rtp://232.0.0.26:8714
书画频道,rtp://232.0.0.222:9266
四海钓鱼,rtp://232.0.0.56:8692
文物宝库,rtp://232.0.0.217:9252
武术世界,rtp://232.0.0.223:9268
炫动卡通,rtp://232.0.0.103:8636
动漫秀场,rtp://232.0.0.140:9304
都市剧场,rtp://232.0.0.143:9310
发现之旅,rtp://232.0.0.20:8630
法治天地,rtp://232.0.0.142:9308
风云剧场,rtp://232.0.0.52:8610
风云音乐,rtp://232.0.0.108:9288
风云足球,rtp://232.0.0.90:9286
先锋乒羽,rtp://232.0.0.216:9250
新动漫,rtp://232.0.0.153:9316
新动漫,rtp://232.0.0.65:8634
央广购物,rtp://232.0.0.229:9284
央视台球,rtp://232.0.0.122:9290
央视文化精品,rtp://232.0.0.107:8698
优购物,rtp://232.0.0.54:8648
优漫卡通,rtp://232.0.0.182:9182
优优宝贝,rtp://232.0.0.245:9130
游戏风云,rtp://232.0.0.139:9302
财富天下,rtp://232.0.0.37:8646
茶频道,rtp://232.0.0.220:9258
党员教育,rtp://232.0.0.224:9270
第一剧场,rtp://232.0.0.147:9132
中国天气,rtp://232.0.0.152:9314
中华特产,rtp://232.0.0.247:9136
中学生,rtp://232.0.0.47:8676
电视指南,rtp://232.0.0.162:9124
谍战剧场,rtp://232.0.0.53:8754
东方财经,rtp://232.0.0.30:8656
轮播1,rtp://232.0.0.119:8872
轮播2,rtp://232.0.0.91:8746
轮播3,rtp://232.0.0.154:9318
